"case_ID","pay_attn_to_politics","vote_in_2012","vote_choice_2012","attn_to_news","registered_to_vote","party_of_registration","vote_in_primary","vote_choice_primary","vote_for_president","vote_choice_president","approve_of_congress","country_on_track","approve_of_president","feeling_dem_cand","feeling_rep_cand","feeling_prev_pres","feeling_bill_clinton","feeling_dem_party","feeling_rep_party","have_health_insurance","favor_2010_health_care_law","liberal.cons_self","current_econ","party_better_economy","importance_of_guns","policy_immigrants","build_wall","speak_english","syrian_refugees","gov_waste_.tax_money","global_warming","death_penalty","obama_angry","obama_proud","religion_important","attend_church","attend_church_often","born_again_christian","age","married","education","hispanic","white","black.af.amer","amer.indian.alaskan","asian","hawaiian.pac.islander.mentioned","native_status_parents","grandparents_born_outside_US"
5017,"2. Most of the time","2. No, didn't vote",NA,"2. A lot","2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,NA,NA,"1. Approve","2. Wrong track","2. Disapprove",0,70,30,50,50,50,"2. Oppose","2. Oppose",NA,"4. Bad","3. Not much difference between them","4. Not too important","1. Make all unauthorized immigrants felons and send them back to their home country.","1. Favor","1. Very important","2. Oppose","1. Waste a lot","2. Probably hasn't been happening","1. Favor","2. Some of the time","1. Never","2. Not important","2. No",NA,NA,47,"1. Married","2. High school graduate","2. No","1. Selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
5018,"4. Some of the time","2. No, didn't vote",NA,"4. A little","2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","2. Disapprove","1. Right direction","1. Approve",70,0,70,70,50,50,"2. Oppose","2. Oppose",NA,"3. Neither good nor bad","3. Not much difference between them","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","3. Neither favor nor oppose","1. Very important","3. Neither favor nor oppose","2. Waste some","1. Has probably been happening","1. Favor","2. Some of the time","2. Some of the time","1. Important","1. Yes","3. Once or twice a month","1. Yes",NA,"5. Never married","4. Associate degree","1. Yes","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","2. One parent born in the U.S.","0. None"
5019,"4. Some of the time","1. Yes, voted","1. Barack Obama","4. A little","2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","1. Approve","2. Wrong track","1. Approve",70,0,85,70,85,50,"3. Neither favor nor oppose","3. Neither favor nor oppose","4. Moderate, middle of the road","3. Neither good nor bad","1. Democrats","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","1. Very important","3. Neither favor nor oppose","2. Waste some","2. Probably hasn't been happening","1. Favor","1. Never","5. Always","2. Not important","2. No",NA,NA,24,"5. Never married","1. Some high school or less","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
5020,"1. Always","1. Yes, voted","2. Mitt Romney","1. A great deal","1. Registered",NA,"1. Yes, voted in primary or caucus","4. Donald Trump","1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",2,95,0,1,2,70,"2. Oppose","2. Oppose","6. Conservative","4. Bad","2. Republicans","1. Extremely important","1. Make all unauthorized immigrants felons and send them back to their home country.","1. Favor","1. Very important","2. Oppose","1. Waste a lot","2. Probably hasn't been happening","1. Favor","5. Always","1. Never","1. Important","2. No",NA,"1. Yes",71,"1. Married","2. High school graduate","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","2. Two"
5021,"1. Always","1. Yes, voted","2. Mitt Romney","1. A great deal","1. Registered","2. Republican party","1. Yes, voted in primary or caucus","4. Donald Trump","1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",0,100,0,0,40,60,"2. Oppose","2. Oppose","6. Conservative","4. Bad","2. Republicans","3. Somewhat important","2. Have a guest worker program in order to work","1. Favor","1. Very important","2. Oppose","1. Waste a lot","2. Probably hasn't been happening","1. Favor","4. Most of the time","1. Never","1. Important","1. Yes","1. Every week","2. No",72,"2. Widowed","4. Associate degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
5022,"4. Some of the time","2. No, didn't vote",NA,"4. A little","2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,NA,NA,"2. Disapprove","2. Wrong track","2. Disapprove",51,0,61,86,52,51,"2. Oppose","2. Oppose","4. Moderate, middle of the road","3. Neither good nor bad","3. Not much difference between them","4. Not too important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","2. Somewhat important","3. Neither favor nor oppose","2. Waste some","1. Has probably been happening","1. Favor","2. Some of the time","2. Some of the time","2. Not important","2. No",NA,NA,31,"1. Married","2. High school graduate","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
5023,"1. Always","2. No, didn't vote",NA,"1. A great deal","1. Registered",NA,"1. Yes, voted in primary or caucus","4. Donald Trump","1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",3,100,2,1,2,52,"2. Oppose","2. Oppose","5. Slightly conservative","4. Bad","3. Not much difference between them","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","3. Neither favor nor oppose","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","5. Always","1. Never","1. Important","2. No",NA,NA,47,"3. Divorced","3. Some college","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
5024,"4. Some of the time","2. No, didn't vote",NA,"4. A little","1. Registered","3. None or 'independent'","2. No, didn't vote in primary or caucus",NA,"2. No",NA,"2. Disapprove","2. Wrong track","2. Disapprove",52,86,30,70,50,53,"2. Oppose","2. Oppose","4. Moderate, middle of the road","3. Neither good nor bad","1. Democrats","3. Somewhat important","1. Make all unauthorized immigrants felons and send them back to their home country.","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","3. About half the time","2. Some of the time","1. Important","1. Yes","2. Almost every week","1. Yes",49,"1. Married","3. Some college","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","2. Two"
5025,"2. Most of the time","1. Yes, voted","1. Barack Obama","2. A lot","1. Registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes",NA,"1. Approve","1. Right direction","1. Approve",60,0,70,50,60,40,"3. Neither favor nor oppose","3. Neither favor nor oppose","4. Moderate, middle of the road","3. Neither good nor bad","3. Not much difference between them","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","1. Very important","3. Neither favor nor oppose","1. Waste a lot","1. Has probably been happening","1. Favor","1. Never","2. Some of the time","2. Not important","2. No",NA,"2. No",NA,"1. Married","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
5026,"4. Some of the time","1. Yes, voted","2. Mitt Romney","4. A little","1. Registered","2. Republican party","1. Yes, voted in primary or caucus","8. Another Republican","1. Yes","1. Hillary Clinton","2. Disapprove","1. Right direction","1. Approve",50,0,60,30,30,30,"3. Neither favor nor oppose","3. Neither favor nor oppose","5. Slightly conservative","4. Bad","3. Not much difference between them","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","1. Very important","1. Favor","2. Waste some","1. Has probably been happening","2. Oppose","1. Never","4. Most of the time","1. Important","1. Yes","1. Every week","1. Yes",44,"1. Married","6. Master's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
5027,"2. Most of the time","1. Yes, voted","1. Barack Obama","2. A lot","1. Registered",NA,"1. Yes, voted in primary or caucus","6. John Kasich","1. Yes","1. Hillary Clinton","2. Disapprove","1. Right direction","1. Approve",60,0,85,70,60,30,"1. Favor","1. Favor","5. Slightly conservative","2. Good","1. Democrats","4. Not too important","4. Allow to remain and eventually qualify for U.S. citizenship without penalties.","2. Oppose","2. Somewhat important","1. Favor","2. Waste some","1. Has probably been happening","2. Oppose","2. Some of the time","4. Most of the time","1. Important","2. No",NA,"2. No",69,"1. Married","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","2. Two"
5028,"2. Most of the time","1. Yes, voted","1. Barack Obama","3. A moderate amount","1. Registered",NA,"1. Yes, voted in primary or caucus","2. Bernie Sanders","1. Yes","1. Hillary Clinton","2. Disapprove","2. Wrong track","1. Approve",81,0,100,85,88,39,"1. Favor","1. Favor","2. Liberal","3. Neither good nor bad","1. Democrats","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","2. Somewhat important","1. Favor","1. Waste a lot","1. Has probably been happening","2. Oppose","1. Never","5. Always","1. Important","2. No",NA,NA,39,"5. Never married","4. Associate degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","4. All"
5029,"3. About half the time","1. Yes, voted","2. Mitt Romney","3. A moderate amount","1. Registered","1. Democratic party","2. No, didn't vote in primary or caucus",NA,"1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",15,70,40,40,50,50,"2. Oppose","2. Oppose","7. Extremely conservative","4. Bad","2. Republicans","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","2. Oppose","2. Some of the time","2. Some of the time","1. Important","1. Yes","3. Once or twice a month","1. Yes",51,"4. Separated","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
5030,"2. Most of the time","1. Yes, voted","2. Mitt Romney","2. A lot","1. Registered",NA,"2. No, didn't vote in primary or caucus",NA,NA,NA,"2. Disapprove","2. Wrong track","2. Disapprove",0,100,0,0,0,100,"2. Oppose","2. Oppose","7. Extremely conservative","4. Bad","2. Republicans","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","1. Very important","2. Oppose","1. Waste a lot","2. Probably hasn't been happening",NA,"4. Most of the time","1. Never","1. Important","1. Yes","2. Almost every week","1. Yes",59,"1. Married","6. Master's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
5031,"4. Some of the time","1. Yes, voted","1. Barack Obama","4. A little","1. Registered","1. Democratic party","2. No, didn't vote in primary or caucus",NA,"2. No",NA,"2. Disapprove","2. Wrong track","1. Approve",60,60,40,40,50,60,"3. Neither favor nor oppose","3. Neither favor nor oppose",NA,"5. Very bad","3. Not much difference between them","5. Not important at all","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","3. Neither favor nor oppose","4. Not at all important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","1. Never","4. Most of the time","2. Not important","2. No",NA,"2. No",42,"3. Divorced","2. High school graduate","1. Yes","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","3. Both parents born in another country","4. All"
5032,"4. Some of the time","1. Yes, voted","2. Mitt Romney","4. A little","1. Registered",NA,"1. Yes, voted in primary or caucus","4. Donald Trump","1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",0,100,0,0,0,100,"2. Oppose","2. Oppose","6. Conservative","5. Very bad","2. Republicans","1. Extremely important","1. Make all unauthorized immigrants felons and send them back to their home country.","3. Neither favor nor oppose","1. Very important","2. Oppose","1. Waste a lot","2. Probably hasn't been happening","1. Favor","5. Always","1. Never","1. Important","1. Yes","2. Almost every week","1. Yes",45,"1. Married","4. Associate degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
5033,"2. Most of the time","1. Yes, voted","1. Barack Obama","2. A lot","1. Registered",NA,"1. Yes, voted in primary or caucus","1. Hillary Clinton","1. Yes","1. Hillary Clinton","2. Disapprove","1. Right direction","1. Approve",70,0,85,100,70,0,"1. Favor","1. Favor","2. Liberal","3. Neither good nor bad","3. Not much difference between them","4. Not too important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","1. Very important","1. Favor","1. Waste a lot","1. Has probably been happening","2. Oppose","2. Some of the time","4. Most of the time","1. Important","1. Yes","2. Almost every week","1. Yes",52,"1. Married","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
5034,"2. Most of the time","1. Yes, voted","1. Barack Obama","2. A lot","1. Registered","1. Democratic party","1. Yes, voted in primary or caucus","2. Bernie Sanders","1. Yes","1. Hillary Clinton","2. Disapprove","2. Wrong track","1. Approve",60,0,85,60,25,0,"1. Favor","1. Favor","1. Extremely liberal","4. Bad","1. Democrats","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","1. Very important","1. Favor","1. Waste a lot","1. Has probably been happening","2. Oppose","2. Some of the time","4. Most of the time","2. Not important","2. No",NA,NA,61,"1. Married","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","4. All"
5035,"2. Most of the time","1. Yes, voted","1. Barack Obama","1. A great deal","1. Registered","3. None or 'independent'","2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","2. Disapprove","1. Right direction","1. Approve",96,0,97,84,76,4,"1. Favor","1. Favor","2. Liberal","2. Good","1. Democrats","1. Extremely important","4. Allow to remain and eventually qualify for U.S. citizenship without penalties.","2. Oppose","2. Somewhat important","3. Neither favor nor oppose","1. Waste a lot","1. Has probably been happening","2. Oppose","1. Never","4. Most of the time","2. Not important","2. No",NA,"2. No",74,"2. Widowed","6. Master's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","4. All"
5036,"2. Most of the time","1. Yes, voted","2. Mitt Romney","2. A lot","1. Registered","2. Republican party","1. Yes, voted in primary or caucus","4. Donald Trump","1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",15,100,30,15,40,85,"3. Neither favor nor oppose","3. Neither favor nor oppose","6. Conservative","3. Neither good nor bad","2. Republicans","2. Very important","1. Make all unauthorized immigrants felons and send them back to their home country.","1. Favor","1. Very important","2. Oppose","1. Waste a lot","2. Probably hasn't been happening","1. Favor","3. About half the time","1. Never","1. Important","1. Yes","3. Once or twice a month","1. Yes",67,"3. Divorced","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
5037,"3. About half the time","2. No, didn't vote",NA,"3. A moderate amount","2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,"2. No",NA,"2. Disapprove","2. Wrong track","2. Disapprove",15,24,21,32,60,35,"1. Favor","1. Favor",NA,"4. Bad","3. Not much difference between them","2. Very important","1. Make all unauthorized immigrants felons and send them back to their home country.","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","3. About half the time","1. Never","1. Important","2. No",NA,"1. Yes",42,"3. Divorced","3. Some college","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
5038,"3. About half the time","2. No, didn't vote",NA,"2. A lot","1. Registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes","3. Gary Johnson","1. Approve","1. Right direction","1. Approve",60,0,85,50,85,60,"2. Oppose","2. Oppose","3. Slightly liberal","4. Bad","2. Republicans","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","4. Not at all important","1. Favor","2. Waste some","1. Has probably been happening","1. Favor","2. Some of the time","4. Most of the time","2. Not important","2. No",NA,NA,22,"5. Never married","4. Associate degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
5039,"4. Some of the time","2. No, didn't vote",NA,"4. A little","2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","1. Approve","1. Right direction","2. Disapprove",60,40,40,70,50,60,"2. Oppose","2. Oppose",NA,"2. Good","3. Not much difference between them","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","1. Very important","2. Oppose","2. Waste some","1. Has probably been happening","1. Favor","2. Some of the time","1. Never","2. Not important","2. No",NA,NA,64,"3. Divorced","8. Doctorate degree","2. No","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","3. Both parents born in another country","4. All"
5040,"2. Most of the time","1. Yes, voted","3. Other","3. A moderate amount","1. Registered",NA,"1. Yes, voted in primary or caucus","2. Bernie Sanders","1. Yes","1. Hillary Clinton","2. Disapprove","2. Wrong track","1. Approve",60,0,70,60,60,30,"1. Favor","1. Favor","4. Moderate, middle of the road","3. Neither good nor bad","3. Not much difference between them","3. Somewhat important","2. Have a guest worker program in order to work","2. Oppose","1. Very important","3. Neither favor nor oppose","1. Waste a lot","1. Has probably been happening","2. Oppose","1. Never","2. Some of the time","1. Important","2. No",NA,"2. No",69,"1. Married","3. Some college","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
5041,"1. Always","1. Yes, voted","1. Barack Obama","2. A lot","1. Registered",NA,"1. Yes, voted in primary or caucus","1. Hillary Clinton","1. Yes","1. Hillary Clinton","2. Disapprove","1. Right direction","1. Approve",70,0,85,70,85,60,"1. Favor","1. Favor","3. Slightly liberal","3. Neither good nor bad","1. Democrats","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","3. Neither favor nor oppose","2. Somewhat important","3. Neither favor nor oppose","1. Waste a lot","1. Has probably been happening","1. Favor","2. Some of the time","4. Most of the time","1. Important","1. Yes","3. Once or twice a month","1. Yes",53,"5. Never married","3. Some college","2. No","0. Not selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
5042,"4. Some of the time","2. No, didn't vote",NA,NA,"2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,NA,NA,"1. Approve","2. Wrong track","1. Approve",61,30,100,77,61,45,"2. Oppose","2. Oppose","4. Moderate, middle of the road","4. Bad","2. Republicans","4. Not too important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","1. Very important","1. Favor","2. Waste some","1. Has probably been happening","1. Favor","1. Never","2. Some of the time","2. Not important","2. No",NA,NA,20,"5. Never married","3. Some college","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","1. One"
5043,"3. About half the time","1. Yes, voted","2. Mitt Romney","3. A moderate amount","1. Registered","1. Democratic party","2. No, didn't vote in primary or caucus",NA,"1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",40,60,50,40,40,60,"2. Oppose","2. Oppose","6. Conservative","2. Good","2. Republicans","2. Very important","2. Have a guest worker program in order to work","2. Oppose","1. Very important","3. Neither favor nor oppose","1. Waste a lot","1. Has probably been happening","1. Favor","2. Some of the time","2. Some of the time","1. Important","1. Yes","2. Almost every week","1. Yes",74,"1. Married","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
5044,"2. Most of the time","1. Yes, voted","2. Mitt Romney","2. A lot","1. Registered",NA,"1. Yes, voted in primary or caucus","7. Marco Rubio","1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",2,60,0,1,0,60,"2. Oppose","2. Oppose","6. Conservative","4. Bad","2. Republicans","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","1. Very important","2. Oppose","1. Waste a lot","2. Probably hasn't been happening","1. Favor","5. Always","1. Never","1. Important","1. Yes","1. Every week","1. Yes",65,"1. Married",NA,"2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
5045,"4. Some of the time","2. No, didn't vote",NA,"4. A little","2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,NA,NA,"1. Approve","2. Wrong track","2. Disapprove",0,70,0,40,0,60,"2. Oppose","2. Oppose","6. Conservative","4. Bad","2. Republicans","1. Extremely important","1. Make all unauthorized immigrants felons and send them back to their home country.","3. Neither favor nor oppose","2. Somewhat important","2. Oppose","1. Waste a lot","2. Probably hasn't been happening","1. Favor","3. About half the time","1. Never","1. Important","1. Yes","4. A few times a year","2. No",29,"3. Divorced","2. High school graduate","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
5046,"1. Always","1. Yes, voted","1. Barack Obama","3. A moderate amount","1. Registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","1. Approve","1. Right direction","1. Approve",97,1,99,98,99,0,"1. Favor","1. Favor",NA,"4. Bad","1. Democrats","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","1. Very important","3. Neither favor nor oppose","2. Waste some","1. Has probably been happening","1. Favor","1. Never","5. Always","2. Not important","1. Yes","4. A few times a year","2. No",47,"3. Divorced","6. Master's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","3. Both parents born in another country","4. All"
5047,"2. Most of the time","1. Yes, voted","2. Mitt Romney","1. A great deal","1. Registered","2. Republican party","1. Yes, voted in primary or caucus","6. John Kasich","1. Yes","3. Gary Johnson","2. Disapprove","2. Wrong track","2. Disapprove",0,0,50,0,40,40,"2. Oppose","2. Oppose","4. Moderate, middle of the road","3. Neither good nor bad","2. Republicans","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","2. Somewhat important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","1. Never","2. Some of the time","2. Not important","1. Yes","4. A few times a year","2. No",72,"1. Married","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
5048,"2. Most of the time","1. Yes, voted","1. Barack Obama","2. A lot","1. Registered","1. Democratic party","1. Yes, voted in primary or caucus","1. Hillary Clinton","1. Yes","1. Hillary Clinton","2. Disapprove","1. Right direction","1. Approve",70,0,100,70,70,40,"3. Neither favor nor oppose","3. Neither favor nor oppose",NA,"3. Neither good nor bad","1. Democrats","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","1. Never","5. Always","1. Important","2. No",NA,"2. No",34,"5. Never married","6. Master's degree","2. No","0. Not selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
5049,"2. Most of the time","1. Yes, voted","2. Mitt Romney","2. A lot","1. Registered","2. Republican party","1. Yes, voted in primary or caucus","4. Donald Trump","1. Yes","2. Donald Trump","1. Approve","2. Wrong track","2. Disapprove",0,95,1,15,5,70,"2. Oppose","2. Oppose","7. Extremely conservative","4. Bad","2. Republicans","1. Extremely important","1. Make all unauthorized immigrants felons and send them back to their home country.","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","4. Most of the time","1. Never","1. Important","1. Yes","3. Once or twice a month","2. No",44,"1. Married","2. High school graduate","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
5050,"3. About half the time","1. Yes, voted","1. Barack Obama","4. A little","1. Registered","1. Democratic party","2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","2. Disapprove","2. Wrong track","1. Approve",100,0,100,100,85,15,"1. Favor","1. Favor",NA,"4. Bad","3. Not much difference between them","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","3. Neither favor nor oppose","1. Very important","2. Oppose","2. Waste some","1. Has probably been happening","2. Oppose","1. Never","5. Always","2. Not important","2. No",NA,"2. No",37,"5. Never married","5. Bachelor's degree","1. Yes","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
5051,"3. About half the time","1. Yes, voted","2. Mitt Romney","4. A little","1. Registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes","2. Donald Trump","1. Approve","2. Wrong track","1. Approve",NA,72,20,59,43,60,"2. Oppose","2. Oppose","4. Moderate, middle of the road","3. Neither good nor bad","2. Republicans","3. Somewhat important","1. Make all unauthorized immigrants felons and send them back to their home country.","3. Neither favor nor oppose","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","3. About half the time","2. Some of the time","1. Important","1. Yes","4. A few times a year","1. Yes",33,"1. Married","3. Some college","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","1. One"
5052,"1. Always","1. Yes, voted","2. Mitt Romney","1. A great deal","1. Registered",NA,"1. Yes, voted in primary or caucus","4. Donald Trump","1. Yes","2. Donald Trump","1. Approve","2. Wrong track","2. Disapprove",2,95,14,1,31,90,"2. Oppose","2. Oppose","7. Extremely conservative","4. Bad","2. Republicans","1. Extremely important","2. Have a guest worker program in order to work","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","4. Most of the time","2. Some of the time","1. Important","1. Yes","1. Every week","1. Yes",67,"3. Divorced",NA,"2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
5053,"2. Most of the time","1. Yes, voted","1. Barack Obama","3. A moderate amount","1. Registered","1. Democratic party","2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","2. Disapprove","1. Right direction","1. Approve",60,15,85,60,60,40,"3. Neither favor nor oppose","3. Neither favor nor oppose","3. Slightly liberal","2. Good","3. Not much difference between them","4. Not too important","4. Allow to remain and eventually qualify for U.S. citizenship without penalties.","2. Oppose","3. Not very important","1. Favor","1. Waste a lot","1. Has probably been happening","2. Oppose","1. Never","4. Most of the time","2. Not important","1. Yes","4. A few times a year",NA,49,"1. Married","6. Master's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
5054,"2. Most of the time","1. Yes, voted","2. Mitt Romney","3. A moderate amount","1. Registered",NA,"1. Yes, voted in primary or caucus","5. Ted Cruz","1. Yes","2. Donald Trump","1. Approve","2. Wrong track","2. Disapprove",0,60,15,1,31,85,"2. Oppose","2. Oppose","6. Conservative","4. Bad","2. Republicans","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","3. About half the time","1. Never","1. Important","1. Yes","3. Once or twice a month","2. No",NA,"1. Married","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
